,utility,eiaid,name,label,enddate,demandrateunit,flatdemandunit,uri,sector,description,source,peakkwcapacitymax,peakkwcapacitymin,peakkwhuseagemax,peakkwhuseagemin,voltagecategory,phasewiring
3,Blue Ridge Mountain E M C (North Carolina),1891,Residential,539f6a0aec4f024411ec8acd,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8acd,Residential,,http://www.brmemc.com/Electric_Rate_Sheet.aspx,,,,,,
4,"Charles Mix Electric Assn, Inc",3315,Rate Schedule D - Residential and Small Commercial,539f6a0aec4f024411ec8ad1,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8ad1,Residential,"Applicability: Applicable to rural consumers for all uses for farm, home and small commercial use, subject to the established rules of the seller.

Type of Service: Three-phase, 60 cycle at available secondary voltages.",http://www.cme.coop/Member_Services/rates/Schedule_D/index.html,,,,,,
7,"City of Burt, Iowa (Utility Company)",2600,Power Rate 2,539f6a0aec4f024411ec8adb,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0aec4f024411ec8adb,Residential,"These rates are based upon a Cost of Purchase Power Index of $.0296 per KWH, and shall be increased or decreased periodically by a Power Cost Adjustment. The PCA shall be equal to the amount by which the average actual cost of wholesale electric energy per KWH to the city in the period since the last preceding adjustment is greater or less than the Index cost.

Note: For power rates, the bills must be minimum or greater. The minimum is applied if the consumption times the rate, plus PCA amounts to less than the minimum. Since the PCA varies monthly, the KWH consumption needed to exceed the minimum also varies.",Rate Binder# 1B (Illinois State University),,,,,,
9,West Central Electric Coop Inc,20363,Residential Service,539f6a0bec4f024411ec8b3b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a0bec4f024411ec8b3b,Residential,,http://westcentralelectric.coop/content/electric-rates-billing,,,,,,Single Phase
10,Johnson County Rural E M C,9778,Residential and Farm Service(Flat Rate),539f6a0bec4f024411ec8b41,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0bec4f024411ec8b41,Residential,,http://jcremc.com/wp-content/themes/jcremc/resources/rates/RFR.pdf,,,,,,
11,"City of Scottsboro, Alabama (Utility Company)",16829,Residential,539f6a0bec4f024411ec8b43,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a0bec4f024411ec8b43,Residential,RESIDENTIAL,http://www.sepb.net/index.php/power/electricrates,,,,,,
14,"Town of Holden, Massachusetts (Utility Company)",8715,Residential,539f6a22ec4f024411ec8b7f,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a22ec4f024411ec8b7f,Residential,"Electricity is available under this schedule for all residential purposes in an individual residence or an individual apartment. Electricity is also available hereunder for church and farm use as specified below

The Department may permit more than one residence or apartment to be served through one (1) meter under this schedule. In such case, the kilowatt-hours in each block and the minimum charge shall be multiplied by the number of residences or apartments connected to each meter.

A church and adjacent buildings owned and operated by the church may be served under this rate. Each separate building shall be metered individually.

Electricity for farm use is available under this schedule under the following conditions.
* The Department will provide one service and one meter and all farm circuits will be connected to this service.
* No farm circuits can be attached to Department poles except as specified in the Department's Street Crossing Policy.

Service is not available under this schedule for X-ray or welding equipment or for resale.",http://www.holden-ma.gov/pages/HoldenMA_HMLD/2010%20Rates/residentialrate,,,,,,
15,Four County Elec Member Corp,6640,Residential Service - Three Phase,539f6a22ec4f024411ec8b8b,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a22ec4f024411ec8b8b,Residential,,Rate Binder #8,,,,,,
17,"Town of Groton, Massachusetts (Utility Company)",7715,RESIDENTIAL FARM RATE SCHEDULE - F1,539f6a23ec4f024411ec8b9b,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6d5dec4f024411ecb4df,Residential,"Additional Info:
*Applicability: This schedule is applicable to persons engaged in the business of agriculture/farming.

**Total Energy Charge per kWh = Transmission + Distribution + Generation (subject to TCA)",www.grotonelectric.org/wp-content/uploads/2013/04/Rate-Guide-2013.pdf,,,,,,
19,"City of Lexington, Oklahoma (Utility Company)",10970,Residential,539f6a23ec4f024411ec8bbf,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bbf,Residential,*Subject to fuel adjustment cost.,http://www.cityoflexington.com/utilities.html,,,,,,
20,Powell Valley Electric Coop,15293,Residential,539f6a23ec4f024411ec8bc1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8bc1,Residential,,https://billing.pve.coop/OSCP/LinkClick.aspx?fileticket=zzBLiVloEfs%3D&tabid=255,,,,,,
23,"Broad River Electric Coop, Inc (North Carolina)",2212,Rate Code 80 Single-Phase,539f6a23ec4f024411ec8be1,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a23ec4f024411ec8be1,Residential,"Available on an experimental basis, at the option of the Cooperative, to approximately 100 residential Consumers of the Cooperative who volunteer for service hereunder, and only to residences, condominiums, mobile homes or individually metered apartments, subject to the execution of an agreement for service between the Cooperative and the Consumer.",ISU Document,,,,,,
24,"City of Blue Earth, Minnesota (Utility Company)",1883,Residential Electric,539f6a24ec4f024411ec8c13,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a24ec4f024411ec8c13,Residential,,http://www.belw.org/Rate/Detail/11,,,,,,
27,"City of Wellington, Kansas (Utility Company)",20315,Rural Residential- Single Phase,539f6a33ec4f024411ec8c45,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a33ec4f024411ec8c45,Residential,"Residential service shall be defined as service to a private house, apartment, flat, or other living quarters occupied by persons constituting a distinct household. It shall include any private garage adjacent to or connected with the residence and used exclusively by the resident. City residential service shall include any customers residing within the city limits. Rural residential service shall include customers residing outside the corporate limits of the city.",Sec. 38-453; http://library.municode.com/HTML/14514/book.html,,,,,,
32,Green Mountain Power Corp,7601,Rate 11: Optional Residential TOD,57310dd75457a30055a31af8,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/57310dd75457a30055a31af8,Residential,"Service under this rate is available as an alternative to Rate 01 for single-phase electric service at secondary voltage in residences, individual apartments, and farms at service locations that have taken service under this rate prior to April 1, 1989.",http://www.greenmountainpower.com/upload/photos/504Rate_11_-_4.1.16.pdf,,,,,,
34,"City of Naperville, Illinois (Utility Company)",13208,Residential,539f6a34ec4f024411ec8c9f,,kW,kW,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8c9f,Residential,,https://library.municode.com/index.aspx?clientId=14853&stateId=13&stateName=Illinois,,,,,,
35,Pataula Electric Member Corp,14588,Schedule FM - Farm and Home Service,539f6a34ec4f024411ec8ccb,,kW,,http://en.openei.org/apps/USURDB/rate/view/539f6a34ec4f024411ec8ccb,Residential,,http://facts.psc.state.ga.us/Public/GetDocument.aspx?ID=128532,,,,,,
