zip_code,egrid_subregion
00002,AKMS
00006,AKGD
00007,AKMS
00010,AKMS
00011,AKGD
00012,CAMX
00014,AZNM
00015,AZNM
00016,CAMX
00017,CAMX
00018,CAMX
00019,CAMX
00020,CAMX
00022,CAMX
00026,CAMX
00027,RMPA
00028,CAMX
00029,CAMX
00031,CAMX
00032,CAMX
00033,CAMX
00034,NWPP
00035,NWPP
00037,CAMX
00038,CAMX
00039,CAMX
00040,CAMX
00041,FRCC
00042,FRCC
00043,FRCC
00044,CAMX
00045,FRCC
00047,CAMX
00048,CAMX
00049,NWPP
00050,CAMX
00051,CAMX
00052,CAMX
00053,FRCC
00054,CAMX
00055,CAMX
00056,NWPP
00058,CAMX
00059,MROW
00060,MROW
00063,NWPP
00064,AZNM
00065,CAMX
00066,AZNM
00067,SPSO
00068,NWPP
00069,NWPP
00070,NWPP
00071,NWPP
00072,NWPP
00073,NWPP
00074,NWPP
00076,NWPP
00077,NWPP
00084,SRVC
00087,FRCC
00097,FRCC
00098,FRCC
00100,NWPP
00116,SRMV
00119,SRMV
00120,SRMV
00121,SRMV
00127,NEWE
00130,NEWE
00134,NEWE
00135,NEWE
00137,NEWE
00138,NEWE
00139,NEWE
00141,NEWE
00151,NEWE
00152,RFCE
00158,NEWE
00160,MROW
00161,MROW
00164,MROW
00165,MROW
00166,MROW
00168,NEWE
00172,NEWE
00173,NEWE
00174,NEWE
00176,NEWE
00177,NEWE
00179,NEWE
00180,NEWE
00181,NEWE
00182,NEWE
00183,NEWE
00184,NEWE
00185,NEWE
00188,ERCT
00195,NWPP
00197,AZNM
00198,AKGD
00199,AZNM
00501,NYLI
00544,NYLI
00601,PRMS
00602,PRMS
00603,PRMS
00604,PRMS
00605,PRMS
00606,PRMS
00610,PRMS
00611,PRMS
00612,PRMS
00613,PRMS
00614,PRMS
00616,PRMS
00617,PRMS
00622,PRMS
00623,PRMS
00624,PRMS
00627,PRMS
00631,PRMS
00637,PRMS
00638,PRMS
00641,PRMS
00646,PRMS
00647,PRMS
00650,PRMS
00652,PRMS
00653,PRMS
00656,PRMS
00659,PRMS
00660,PRMS
00662,PRMS
00664,PRMS
00667,PRMS
00669,PRMS
00670,PRMS
00674,PRMS
00676,PRMS
00677,PRMS
00678,PRMS
00680,PRMS
00681,PRMS
00682,PRMS
00683,PRMS
00685,PRMS
00687,PRMS
00688,PRMS
00690,PRMS
00692,PRMS
00693,PRMS
00694,PRMS
00698,PRMS
00703,PRMS
00704,PRMS
00705,PRMS
00707,PRMS
00714,PRMS
00715,PRMS
00716,PRMS
00717,PRMS
00718,PRMS
00719,PRMS
00720,PRMS
00721,PRMS
00723,PRMS
00725,PRMS
00726,PRMS
00727,PRMS
00728,PRMS
00729,PRMS
00730,PRMS
00731,PRMS
00732,PRMS
00733,PRMS
00734,PRMS
00735,PRMS
00736,PRMS
00737,PRMS
00738,PRMS
00739,PRMS
00740,PRMS
00741,PRMS
00742,PRMS
00744,PRMS
00745,PRMS
00751,PRMS
00754,PRMS
00757,PRMS
00765,PRMS
00766,PRMS
00767,PRMS
00769,PRMS
00771,PRMS
00772,PRMS
00773,PRMS
00775,PRMS
00777,PRMS
00778,PRMS
00780,PRMS
00782,PRMS
00783,PRMS
00784,PRMS
00785,PRMS
00786,PRMS
00791,PRMS
00792,PRMS
00794,PRMS
00795,PRMS
00901,PRMS
00902,PRMS
00906,PRMS
00907,PRMS
00908,PRMS
00909,PRMS
00910,PRMS
00911,PRMS
00912,PRMS
00913,PRMS
00914,PRMS
00915,PRMS
00916,PRMS
00917,PRMS
00918,PRMS
00919,PRMS
00920,PRMS
00921,PRMS
00922,PRMS
00923,PRMS
00924,PRMS
00925,PRMS
00926,PRMS
00927,PRMS
00928,PRMS
00929,PRMS
00930,PRMS
00931,PRMS
00933,PRMS
00934,PRMS
00935,PRMS
00936,PRMS
00937,PRMS
00939,PRMS
00940,PRMS
00949,PRMS
00950,PRMS
00951,PRMS
00952,PRMS
00953,PRMS
00954,PRMS
00955,PRMS
00956,PRMS
00957,PRMS
00958,PRMS
00959,PRMS
00960,PRMS
00961,PRMS
00962,PRMS
00963,PRMS
00965,PRMS
00966,PRMS
00968,PRMS
00969,PRMS
00970,PRMS
00971,PRMS
00975,PRMS
00976,PRMS
00977,PRMS
00978,PRMS
00979,PRMS
00981,PRMS
00982,PRMS
00983,PRMS
00984,PRMS
00985,PRMS
00986,PRMS
00987,PRMS
00988,PRMS
01001,NEWE
01002,NEWE
01003,NEWE
01004,NEWE
01005,NEWE
01007,NEWE
01008,NEWE
01009,NEWE
01010,NEWE
01011,NEWE
01012,NEWE
01013,NEWE
01014,NEWE
01020,NEWE
01021,NEWE
01022,NEWE
01026,NEWE
01027,NEWE
01028,NEWE
01029,NEWE
01030,NEWE
01031,NEWE
01032,NEWE
01033,NEWE
01034,NEWE
01035,NEWE
01036,NEWE
01037,NEWE
01038,NEWE
01039,NEWE
01040,NEWE
01041,NEWE
01050,NEWE
01053,NEWE
01054,NEWE
01056,NEWE
01057,NEWE
01059,NEWE
01060,NEWE
01061,NEWE
01062,NEWE
01063,NEWE
01066,NEWE
01068,NEWE
01069,NEWE
01070,NEWE
01071,NEWE
01072,NEWE
01073,NEWE
01074,NEWE
01075,NEWE
01077,NEWE
01079,NEWE
01080,NEWE
01081,NEWE
01082,NEWE
01083,NEWE
01084,NEWE
01085,NEWE
01086,NEWE
01088,NEWE
01089,NEWE
01090,NEWE
01092,NEWE
01093,NEWE
01094,NEWE
