hvac_chiller_kw_per_ton		0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78	0.78
hvac_charge_defect_ratio		-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
hvac_airflow_defect_ratio		-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25	-0.25
hvac_fan_watts_per_cfm		0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58	0.58
shared_motor_efficiency		0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85
hot_water_distribution_pipe_r_value		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hot_water_distribution_low_flow		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
water_heater_fuel_type	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity	electricity
water_heater_fuel_type	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas	natural gas
water_heater_fuel_type	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil	fuel oil
water_heater_type	electricity	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater
water_heater_type	natural gas	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater
water_heater_type	fuel oil	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater	storage water heater
water_heater_eff_units		EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF	EF
water_heater_eff_fixed	electricity	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97	0.97
water_heater_eff_fixed	natural gas	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69	0.69
water_heater_eff_fixed	fuel oil	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61	0.61
water_heater_eff_variable	electricity	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001	-0.001
water_heater_eff_variable	natural gas	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002
water_heater_eff_variable	fuel oil	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002	-0.002
water_heater_volume	"electricity, tankless->tank"	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
water_heater_volume	"natural gas, tankless->tank"	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
water_heater_volume	"fuel oil, tankless->tank"	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50
water_heater_solar_fraction																					
duct_unconditioned_r_value	"supply, attic"	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
duct_unconditioned_r_value	other	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
duct_lto_cfm25_per_100sqft		4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
duct_lto_cfm25_min		40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
duct_location_fractions	"slab foundation, 1 story"	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0
duct_location_fractions	"slab foundation, 2 story"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"	"attic=0.75, conditioned=0.25"
duct_location_fractions	"crawlspace foundation, 1 story"	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0	crawlspace=1.0
duct_location_fractions	"crawlspace foundation, 2 story"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"	"crawlspace=0.5, attic=0.5"
duct_location_fractions	"basement foundation, 1 story"	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0	basement=1.0
duct_location_fractions	"basement foundation, 2 story"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"	"basement=0.5, attic=0.5"
duct_location_fractions	"ambient foundation, 1 story"	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0	outside=1.0
duct_location_fractions	"ambient foundation, 2 story"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"	"outside=0.5, attic=0.5"
duct_location_fractions	adiabatic foundation	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0	attic=1.0
infil_air_leakage_ach50		6	6	6	6	6	6	5	5	5	5	5	4	4	4	4	4	4	4	4	3
infil_air_leakage_cfm50_per_sqft																					
mechanical_ventilation_fan_type		supply only	supply only	supply only	supply only	supply only	supply only	supply only	supply only	supply only	supply only	supply only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only	exhaust only
mechanical_ventilation_fan_sre																					
mechanical_ventilation_fan_cfm_per_w		2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2	2.2
