year,state,fuel,rate_dollar_per_mmbtu
2024,AK,fuel oil,24.52
2024,AK,electricity,72.75
2024,AK,natural gas,11.69
2024,AK,propane,32.98
2024,AK,wood,14.07
2024,AL,fuel oil,19.81
2024,AL,electricity,44.48
2024,AL,natural gas,18.09
2024,AL,propane,27.31
2024,AL,wood,10.46
2024,AR,fuel oil,20.28
2024,AR,electricity,36.1
2024,AR,natural gas,15.77
2024,AR,propane,25.93
2024,AR,wood,10.46
2024,AZ,fuel oil,25.88
2024,AZ,electricity,43.69
2024,AZ,natural gas,19.92
2024,AZ,propane,31.25
2024,AZ,wood,14.07
2024,CA,fuel oil,26.28
2024,CA,electricity,93.69
2024,CA,natural gas,18.44
2024,CA,propane,30.89
2024,CA,wood,14.07
2024,CO,fuel oil,22.66
2024,CO,electricity,43.72
2024,CO,natural gas,10.09
2024,CO,propane,24.16
2024,CO,wood,14.07
2024,CT,fuel oil,21.64
2024,CT,electricity,84.25
2024,CT,natural gas,16.36
2024,CT,propane,42.56
2024,CT,wood,8.38
2024,DC,fuel oil,25.46
2024,DC,electricity,51.9
2024,DC,natural gas,16.03
2024,DC,propane,36.43
2020,DC,wood,7.04
2024,DE,fuel oil,25.63
2024,DE,electricity,48.55
2024,DE,natural gas,14.29
2024,DE,propane,34.96
2024,DE,wood,10.46
2024,FL,fuel oil,24.54
2024,FL,electricity,41.43
2024,FL,natural gas,24.66
2024,FL,propane,43.2
2024,FL,wood,10.46
2024,GA,fuel oil,24.08
2024,GA,electricity,41.27
2024,GA,natural gas,17.66
2024,GA,propane,32.44
2024,GA,wood,10.46
2024,HI,fuel oil,25.49
2024,HI,electricity,125.63
2024,HI,natural gas,53.25
2024,HI,propane,49.95
2024,HI,wood,14.07
2024,IA,fuel oil,23.32
2024,IA,electricity,39.28
2024,IA,natural gas,9.69
2024,IA,propane,16.67
2024,IA,wood,10.56
2024,ID,fuel oil,23.34
2024,ID,electricity,33.76
2024,ID,natural gas,8.25
2024,ID,propane,26.48
2024,ID,wood,14.07
2024,IL,fuel oil,24.07
2024,IL,electricity,46.51
2024,IL,natural gas,10.64
2024,IL,propane,19.96
2024,IL,wood,10.56
2024,IN,fuel oil,23.82
2024,IN,electricity,43.28
2024,IN,natural gas,8.99
2024,IN,propane,24.07
2024,IN,wood,10.56
2024,KS,fuel oil,24.13
2024,KS,electricity,41.47
2024,KS,natural gas,12.65
2024,KS,propane,19.76
2024,KS,wood,10.56
2024,KY,fuel oil,23.63
2024,KY,electricity,37.47
2024,KY,natural gas,12.85
2024,KY,propane,27.15
2024,KY,wood,10.46
2024,LA,fuel oil,19.89
2024,LA,electricity,34.38
2024,LA,natural gas,16.04
2024,LA,propane,30.49
2024,LA,wood,10.46
2024,MA,fuel oil,23.29
2024,MA,electricity,86.02
2024,MA,natural gas,21.27
2024,MA,propane,41.72
2024,MA,wood,8.38
2024,MD,fuel oil,25.17
2024,MD,electricity,52.34
2024,MD,natural gas,15.55
2024,MD,propane,36.61
2024,MD,wood,10.46
2024,ME,fuel oil,23.73
2024,ME,electricity,71.18
2024,ME,natural gas,18.17
2024,ME,propane,34.26
2024,ME,wood,8.38
2024,MI,fuel oil,22.81
2024,MI,electricity,56.56
